City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,nantucket,41.2835,-70.0995,288.72,67,0,7.72,US,1715276683
174,kuching,1.55,110.3333,300.27,94,40,0.0,MY,1715276944
175,stanley,54.868,-1.6985,293.92,61,20,5.14,GB,1715276944
176,bandarbeyla,9.4942,50.8122,302.29,78,100,4.94,SO,1715276945
177,lebu,-37.6167,-73.65,285.29,78,100,3.65,CL,1715276843
178,la'ie,21.6477,-157.9253,299.13,81,6,3.58,US,1715276945
179,college,64.8569,-147.8028,283.97,61,75,3.09,US,1715276945
180,al jawf,29.5,38.75,301.46,13,1,5.17,SA,1715276945
181,nova vicosa,-17.8919,-39.3719,301.84,65,24,2.61,BR,1715276945
182,novyy urgal,51.0736,132.5642,273.91,53,4,1.42,RU,1715276945
183,nushki,29.5542,66.0215,304.14,18,1,3.92,PK,1715276945
184,fort mcmurray,56.7268,-111.381,291.92,27,0,6.17,CA,1715276849
185,porto novo,6.4965,2.6036,304.05,77,98,4.29,BJ,1715276945
186,ryotsu-minato,38.0833,138.4333,281.07,69,5,2.63,JP,1715276946
187,live oak,36.9836,-121.9805,298.05,39,0,1.34,US,1715276946
188,dehdasht,30.7949,50.5646,294.14,36,0,0.64,IR,1715276946
189,daur,26.4583,68.3192,308.56,24,5,5.83,PK,1715276946
190,nyurba,63.2842,118.3319,269.21,82,62,2.52,RU,1715276946
191,uliastay,47.7417,96.8444,278.16,63,10,2.3,MN,1715276946
192,nuuk,64.1835,-51.7216,275.49,75,20,3.6,GL,1715276878
193,laojunmiao,39.8333,97.7333,281.59,79,100,8.45,CN,1715276946
194,callao,-12.0667,-77.15,293.31,83,40,3.6,PE,1715276695
195,zaysan,47.4667,84.8667,290.57,41,14,2.26,KZ,1715276946
196,atafu village,-8.5421,-172.5159,302.24,73,87,1.74,TK,1715276947
197,narasannapeta,18.4167,84.05,301.81,80,51,4.7,IN,1715276947
198,huarmey,-10.0681,-78.1522,295.78,76,20,4.66,PE,1715276947
199,severo-yeniseyskiy,60.3725,93.0408,271.8,95,99,1.34,RU,1715276947
200,domat,46.8348,9.4508,291.34,84,81,1.79,CH,1715276947
201,xinyuan,37.3,99.0,277.0,95,100,2.01,CN,1715276947
202,poronaysk,49.2167,143.1167,278.8,81,100,1.46,RU,1715276947
203,antonio enes,-16.2325,39.9086,298.53,74,12,3.88,MZ,1715276947
204,rundu,-17.9333,19.7667,295.22,21,1,3.11,NA,1715276948
205,borodulikha,50.7184,80.9295,290.11,46,100,3.9,KZ,1715276948
206,troitsko-pechorsk,62.7084,56.1964,268.96,96,86,2.2,RU,1715276948
207,geraldton,-28.7667,114.6,292.38,72,100,4.63,AU,1715276948
208,sarupathar,26.1984,93.8094,294.41,82,18,1.26,IN,1715276948
209,fort bragg,35.139,-79.006,299.93,71,75,6.69,US,1715276850
210,san juan,-31.5375,-68.5364,293.15,18,79,4.91,AR,1715276762
211,swainsboro,32.5974,-82.3337,302.09,57,67,6.03,US,1715276796
212,labytnangi,66.6572,66.4183,270.03,95,100,11.36,RU,1715276948
213,salahonda,2.1019,-78.7217,300.25,81,98,2.17,CO,1715276948
214,rach gia,10.0167,105.0833,301.82,79,88,4.6,VN,1715276798
215,carolina beach,34.0352,-77.8936,301.19,75,88,1.34,US,1715276949
216,kondopoga,62.2057,34.2614,276.97,74,50,1.82,RU,1715276949
217,tual,-5.6667,132.75,302.02,75,65,7.15,ID,1715276949
218,sao vicente,-23.9631,-46.3919,309.97,60,40,1.54,BR,1715276949
219,manaure,11.7751,-72.4445,303.95,68,100,4.04,CO,1715276949
220,san agustin de valle fertil,-30.6335,-67.4682,287.55,39,97,3.93,AR,1715276949
221,taoudenni,22.6783,-3.9836,314.23,5,43,2.62,ML,1715276949
222,laguna,38.421,-121.4238,299.86,29,0,5.66,US,1715276949
223,gizo,-8.103,156.8419,300.46,85,100,4.82,SB,1715276950
224,whitehorse,60.7161,-135.0538,280.27,55,100,6.71,CA,1715276867
225,obo,5.3998,26.4869,300.42,47,98,1.92,CF,1715276950
226,sitka,57.0531,-135.33,284.09,82,100,6.69,US,1715276950
227,grande prairie,55.1667,-118.8027,291.25,27,40,9.77,CA,1715276653
228,gamba,-2.65,10.0,299.23,88,83,2.97,GA,1715276950
229,chemolgan,43.1897,76.5292,290.96,37,8,3.85,KZ,1715276950
230,remire-montjoly,4.9167,-52.2667,303.17,74,75,2.06,GF,1715276950
231,monterey,36.2505,-121.2516,296.02,26,0,2.35,US,1715276782
232,naze,28.3667,129.4833,292.66,72,100,3.58,JP,1715276904
233,namibe,-15.1961,12.1522,295.95,69,11,5.72,AO,1715276951
234,festus,38.2206,-90.396,299.66,50,28,6.38,US,1715276951
235,tillaberi,14.2117,1.4531,313.55,13,100,4.22,NE,1715276799
236,colonia,50.9333,6.95,293.02,58,0,3.6,DE,1715276951
237,bagaha,27.1,84.0833,299.37,56,4,2.82,IN,1715276951
238,argo,37.6333,22.7333,289.43,73,94,2.56,GR,1715276951
239,st. john's,47.5649,-52.7093,282.81,70,75,3.6,CA,1715276651
240,alesund,62.4723,6.1549,282.78,70,40,5.66,NO,1715276951
241,saldanha,-33.0117,17.9442,288.18,84,0,2.39,ZA,1715276951
242,santa cruz,-17.8,-63.1667,294.18,73,75,7.72,BO,1715276951
243,tazovsky,67.4667,78.7,264.84,96,87,4.8,RU,1715276951
244,cadale,2.7603,46.3222,301.74,81,100,7.44,SO,1715276952
245,zouerate,22.7187,-12.4521,310.81,8,99,6.51,MR,1715276952
246,coahuayana de hidalgo,18.7,-103.6583,303.31,52,0,3.5,MX,1715276952
247,brisas de zicatela,15.8369,-97.0419,303.09,52,100,3.64,MX,1715276952
248,roswell,34.0232,-84.3616,292.08,97,75,3.09,US,1715276742
249,juan griego,11.0817,-63.9655,305.32,55,94,5.67,VE,1715276952
250,prince rupert,54.3161,-130.3201,284.2,83,100,4.12,CA,1715276820
251,pandan,14.0453,124.1694,299.51,85,68,2.6,PH,1715276953
252,hadibu,12.65,54.0333,302.77,70,84,0.92,YE,1715276953
253,ribeira grande,38.5167,-28.7,293.02,77,75,4.63,PT,1715276953
254,alice springs,-23.7,133.8833,283.9,93,75,0.0,AU,1715276851
255,afaahiti,-17.75,-149.2833,299.08,74,72,6.02,PF,1715276953
256,el rama,12.1596,-84.2195,307.52,48,99,3.13,NI,1715276953
257,ust'-ilimsk,58.0006,102.6619,273.95,90,78,2.95,RU,1715276953
258,shivpuri,25.4333,77.65,306.07,18,1,2.65,IN,1715276953
259,muravlenko,63.7898,74.523,275.59,100,100,8.42,RU,1715276742
260,gazli,40.1333,63.45,293.24,36,99,2.91,UZ,1715276953
261,staroaleyskoye,51.0061,82.0,289.34,58,100,2.38,RU,1715276954
262,egilsstadir,65.2653,-14.3948,284.1,24,0,2.57,IS,1715276954
263,lata,40.1629,-8.3327,296.82,47,40,1.69,PT,1715276954
264,ulladulla,-35.35,150.4667,288.06,84,100,1.86,AU,1715276954
265,oroqen zizhiqi,50.5667,123.7167,281.42,32,100,1.51,CN,1715276954
266,ampanihy,-24.7,44.75,296.5,60,0,4.18,MG,1715276954
267,gareoult,43.3286,6.0459,294.9,65,77,1.02,FR,1715276954
268,eyl,7.9803,49.8164,302.5,80,83,4.27,SO,1715276954
269,naperville,41.7859,-88.1473,288.86,83,100,6.69,US,1715276955
270,solnechnyy,50.7214,136.6319,277.06,83,41,2.69,RU,1715276955
271,angra do heroismo,38.65,-27.2167,295.49,78,20,2.68,PT,1715276919
272,tsimlyansk,47.6461,42.1019,283.84,38,100,4.62,RU,1715276955
273,at taj,24.2049,23.2857,303.76,8,0,4.16,LY,1715276955
274,maine soroa,13.2114,12.0241,311.17,10,65,3.99,NE,1715276955
275,walvis bay,-22.9575,14.5053,291.68,72,58,2.06,NA,1715276955
276,puerto aysen,-45.4,-72.7,278.34,100,100,0.74,CL,1715276955
277,manakara,-22.1333,48.0167,295.54,87,58,2.98,MG,1715276955
278,pacocha,-17.5833,-71.3333,292.23,77,75,3.09,PE,1715276955
279,kerikeri,-35.2268,173.9474,279.21,85,21,2.38,NZ,1715276955
280,chatillon-sur-seine,47.8585,4.5738,288.43,83,84,3.84,FR,1715276956
281,nar'yan-mar,67.6713,53.087,271.54,95,100,11.62,RU,1715276956
282,nueva guinea,11.6876,-84.4562,306.33,52,100,4.49,NI,1715276956
283,bima,-8.4667,118.7167,296.79,97,85,1.35,ID,1715276956
284,shohimardon,39.9839,71.8028,290.58,55,100,0.83,UZ,1715276956
285,erenhot,43.6475,111.9767,288.19,35,99,3.84,CN,1715276956
286,kuqa,41.7278,82.9364,297.46,9,0,4.49,CN,1715276956
287,olinda,-8.0089,-34.8553,302.0,84,75,6.69,BR,1715276956
288,ziniare,12.5822,-1.2983,310.17,19,99,0.8,BF,1715276957
289,fortuna,40.5982,-124.1573,299.22,45,0,0.89,US,1715276957
290,thisted,56.9552,8.6949,286.59,89,100,7.01,DK,1715276790
291,fale old settlement,-9.3852,-171.2468,301.99,74,88,1.92,TK,1715276957
292,rio grande,-32.035,-52.0986,291.21,53,0,3.99,BR,1715276957
293,udachny,66.4167,112.4,264.03,92,80,2.69,RU,1715276957
294,margate,51.3813,1.3862,290.99,73,22,3.21,GB,1715276957
295,carrizal,10.3499,-66.9863,295.82,62,99,1.52,VE,1715276957
296,constantia,44.1833,28.65,285.76,70,99,5.92,RO,1715276660
297,phalodi,27.1333,72.3667,308.31,19,34,9.09,IN,1715276957
298,castillos,-34.1667,-53.8333,288.2,56,0,2.95,UY,1715276958
299,port shepstone,-30.7414,30.455,295.67,80,0,3.23,ZA,1715276958
300,'ali sabieh,11.1558,42.7125,301.22,64,42,5.1,DJ,1715276958
301,labrador city,52.9463,-66.9114,281.58,34,0,6.26,CA,1715276711
302,dunedin,-45.8742,170.5036,283.6,68,35,4.02,NZ,1715276958
303,lockwood,45.8191,-108.4149,286.28,91,100,3.09,US,1715276958
304,vernon,50.2581,-119.2691,293.28,35,31,0.51,CA,1715276958
305,fukuecho,32.6881,128.8419,289.95,65,41,2.09,JP,1715276958
306,kamaishi,39.2667,141.8833,278.97,80,27,3.28,JP,1715276958
307,benjamin hill,30.1667,-111.1,299.17,14,1,4.12,MX,1715276958
308,yeraliyev,43.2,51.65,289.63,42,18,3.4,KZ,1715276769
309,kourou,5.1552,-52.6478,303.18,91,100,2.76,GF,1715276959
310,cooper's town,26.8667,-77.5167,298.41,72,2,4.29,BS,1715276959
311,nemuro,43.3236,145.575,276.72,92,100,3.83,JP,1715276959
312,kasempa,-13.4584,25.8338,292.49,45,92,2.37,ZM,1715276959
313,tlacotepec,20.0667,-97.8667,309.78,22,60,4.47,MX,1715276959
314,kargasok,59.0556,80.8572,286.46,49,100,6.26,RU,1715276959
315,namdrik,5.5994,168.1028,301.17,83,96,6.34,MH,1715276959
316,utete,-7.986,38.758,295.67,96,19,1.83,TZ,1715276959
317,bubaque,11.2833,-15.8333,299.97,70,53,6.31,GW,1715276960
318,san luis de la loma,17.2706,-100.8939,302.94,55,48,3.89,MX,1715276960
319,maralal,1.0968,36.698,289.88,89,100,2.37,KE,1715276960
320,were ilu,10.6,39.4333,287.29,83,93,2.99,ET,1715276960
321,puerto baquerizo moreno,-0.9,-89.6,300.7,69,75,9.26,EC,1715276960
322,morant bay,17.8815,-76.4093,304.94,75,59,4.26,JM,1715276960
323,durres,41.3231,19.4414,295.25,75,100,4.61,AL,1715276960
324,port alberni,49.2413,-124.8028,293.67,59,11,0.89,CA,1715276960
325,mantua,45.1667,10.7833,295.73,76,100,1.22,IT,1715276935
326,saint-philippe,-21.3585,55.7679,296.92,80,77,7.75,RE,1715276960
327,zhezqazghan,47.7833,67.7667,288.84,56,100,5.84,KZ,1715276960
328,pingxiang,27.6167,113.85,290.98,73,100,1.12,CN,1715276961
329,vilyuysk,63.7553,121.6247,269.26,83,59,3.13,RU,1715276961
330,gisborne,-38.6533,178.0042,284.69,62,100,11.35,NZ,1715276961
331,punto fijo,11.6956,-70.1996,304.12,64,99,8.21,VE,1715276961
